"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2022-01-31","2895.77","2909.13","2860.7","2871.05","-0.50","5154177598.09"
"NEPSE","2022-01-30","2805.01","2885.62","2805.01","2885.53","3.80","6324274038.57"
"NEPSE","2022-01-27","2778.89","2804.07","2776.74","2779.98","0.12","3343413684.03"
"NEPSE","2022-01-26","2817.17","2819.74","2760.88","2776.65","-1.36","4313154042.17"
"NEPSE","2022-01-25","2827.75","2857.91","2781.01","2815.06","0.20","5395672627.02"
"NEPSE","2022-01-24","2926.12","2926.21","2803.72","2820.65","-3.42","8888513177.57"
"NEPSE","2022-01-23","2942.97","2962.44","2906.19","2920.51","-0.37","7030508262.97"
"NEPSE","2022-01-20","2901.51","2936.58","2884","2931.34","1.14","5773120409.18"
"NEPSE","2022-01-19","2945.63","2952.57","2889.18","2898.31","-1.31","6021311881.03"
"NEPSE","2022-01-18","2953.11","2981.92","2915.56","2936.66","-0.37","8443419561.86"
"NEPSE","2022-01-17","2944.92","2956.11","2907.19","2947.38","0.71","7901890668.04"
"NEPSE","2022-01-16","2873.42","2940.13","2873.41","2926.74","2.41","9676317059.06"
"NEPSE","2022-01-13","2808.8","2858.2","2802.49","2857.75","1.93","6669748567.76"
"NEPSE","2022-01-12","2839.87","2874.89","2796.61","2803.62","-1.08","8033212742"
"NEPSE","2022-01-11","2792.64","2848.26","2771.15","2834.13","1.77","6724526197.51"
"NEPSE","2022-01-10","2772.09","2806.74","2755.79","2784.95","0.70","7123424035.13"
"NEPSE","2022-01-09","2699.88","2770.55","2699.88","2765.47","2.71","7101831591.11"
"NEPSE","2022-01-06","2647.76","2692.76","2633.31","2692.47","1.63","3676846349.3"
"NEPSE","2022-01-05","2687.75","2700.29","2640.97","2649.2","-1.15","4621598582.71"
"NEPSE","2022-01-04","2619.22","2679.95","2593.9","2679.95","2.30","4320269827.53"
"NEPSE","2022-01-03","2595.22","2634.86","2593.92","2616.94","1.12","4533017178.58"
"NEPSE","2022-01-02","2538.25","2585.01","2528.75","2584.91","2.39","4126980067.53"
"NEPSE","2021-12-29","2520.55","2538.78","2512.41","2524.5","0.22","3623480291.76"
"NEPSE","2021-12-28","2523.87","2533.63","2486.05","2518.99","-0.11","3125575631.56"
"NEPSE","2021-12-27","2600.21","2616.27","2518.16","2521.65","-2.69","5607439670.68"
"NEPSE","2021-12-26","2531.43","2596.43","2531.15","2591.42","2.82","5173200503.38"
"NEPSE","2021-12-23","2522.51","2542.29","2485.38","2520.23","0.50","4490266410.23"
"NEPSE","2021-12-22","2425.05","2509.27","2424.38","2507.7","3.82","4523338143.26"
"NEPSE","2021-12-21","2360.33","2415.55","2360.32","2415.55","2.41","2383259846.99"
"NEPSE","2021-12-20","2390.81","2390.81","2346.6","2358.81","-0.75","2464689862.61"
"NEPSE","2021-12-16","2415.77","2418.87","2371.73","2376.74","-1.57","2301751967.91"
"NEPSE","2021-12-15","2433.2","2493.07","2379.09","2414.62","-0.17","4588390677.73"
"NEPSE","2021-12-14","2283.67","2418.84","2283.67","2418.85","6.01","1842647144.18"
"NEPSE","2021-12-13","2351.93","2351.93","2259.51","2282.01","-3.36","3995604177.84"
"NEPSE","2021-12-12","2448.66","2455.72","2359.95","2361.27","-3.62","3382509520.17"
"NEPSE","2021-12-09","2454.42","2465.08","2428.33","2449.97","-0.24","2673308791.68"
"NEPSE","2021-12-08","2508.29","2511.69","2448.78","2455.81","-2.12","2663909619.74"
"NEPSE","2021-12-07","2549.36","2590.76","2505.86","2508.91","-1.46","3128341700.27"
"NEPSE","2021-12-06","2508.96","2549.5","2438.86","2546.09","1.28","4542345271.36"
"NEPSE","2021-12-05","2586.83","2587.57","2504.69","2513.89","-2.80","4090765324.93"
"NEPSE","2021-12-02","2633.64","2645.57","2580.6","2584.61","-1.86","3413589126.02"
"NEPSE","2021-12-01","2628.69","2649.99","2628.48","2633.66","0.20","2742085704.34"
"NEPSE","2021-11-30","2630.32","2648.04","2603.9","2628.37","-0.06","3089041990.69"
"NEPSE","2021-11-29","2650.54","2677.87","2621.8","2629.98","-0.81","4008937133.19"
"NEPSE","2021-11-28","2731.78","2733.35","2644.6","2651.49","-2.94","5835135054.76"
"NEPSE","2021-11-25","2736.85","2746.55","2720.84","2731.78","-0.12","3789709330.9"
"NEPSE","2021-11-24","2737.09","2743.22","2694.06","2735.01","0.07","4217415336.52"
"NEPSE","2021-11-23","2765.68","2765.68","2719.99","2733.14","-1.17","4165896577.73"
"NEPSE","2021-11-22","2758.99","2778.28","2758.64","2765.44","0.29","3929261627.44"
"NEPSE","2021-11-21","2771.76","2780.04","2750.49","2755.54","-0.50","7667168.7000003"
"NEPSE","2021-11-21","2771.76","2780.04","2749.83","2757.53","-0.42","4357309319.33"
"NEPSE","2021-11-18","2806.13","2810.64","2760.2","2769.13","-1.16","6271867229.84"
"NEPSE","2021-11-17","2795.19","2825.98","2795.19","2801.52","0.61","7379446819.65"
"NEPSE","2021-11-16","2720.59","2784.63","2716","2784.58","2.55","5521650856.75"
"NEPSE","2021-11-15","2688.06","2728.91","2685.67","2715.35","0.98","4734651443.84"
"NEPSE","2021-11-14","2694.05","2704.47","2667.34","2688.92","-0.05","4096219525.4"
"NEPSE","2021-11-11","2750.03","2750.28","2687.68","2690.29","-2.17","5119602539.69"
"NEPSE","2021-11-09","2831","2833.05","2730.21","2749.86","-2.82","6527729547.47"
"NEPSE","2021-11-08","2854.38","2863.8","2821.64","2829.65","-0.86","4420719103.13"
"NEPSE","2021-11-03","2858.74","2878.2","2837.59","2848.84","-0.01","6553059152.26"
"NEPSE","2021-11-02","2824.83","2845.89","2789.2","2843.62","0.73","6073716888.38"
"NEPSE","2021-11-01","2852.32","2866.44","2804.31","2819.87","-0.87","7777510777.74"
"NEPSE","2021-10-31","2785.95","2838.09","2775.54","2837.62","1.82","7823226492.71"
"NEPSE","2021-10-28","2768.88","2783.77","2746.23","2782.17","0.29","5395268627.81"
"NEPSE","2021-10-27","2753.4","2806.71","2716.99","2769.13","0.56","6612648839.92"
"NEPSE","2021-10-26","2678.86","2751.41","2678.01","2751.07","2.79","6318340931.64"
"NEPSE","2021-10-25","2588.75","2672.25","2588.24","2672.25","3.29","4308895574.87"
"NEPSE","2021-10-24","2557","2587.85","2545.5","2584.53","1.06","2773420134.9"
"NEPSE","2021-10-21","2573.05","2585.79","2542.65","2556.96","-0.70","2635390459.84"
"NEPSE","2021-10-20","2522.2","2590.89","2522","2571.66","2.22","2679028155.23"
"NEPSE","2021-10-19","2588.24","2588.37","2481.85","2510.73","-2.99","3777793666.35"
"NEPSE","2021-10-18","2656.04","2656.04","2582.26","2587.45","-2.73","2966899790.82"
"NEPSE","2021-10-17","2644.42","2670.34","2616.4","2656.97","0.67","1497375370.87"
"NEPSE","2021-10-11","2667.59","2670.34","2616.4","2639.38","-0.77","3639468092.85"
"NEPSE","2021-10-10","2687.19","2720.36","2654.35","2662.58","-0.81","4498043580.96"
"NEPSE","2021-10-06","2614.74","2681.39","2614.52","2681.11","2.47","4500658141.61"
"NEPSE","2021-10-05","2569.79","2620.32","2569.78","2612.65","1.43","2996819683.01"
"NEPSE","2021-10-04","2577.36","2596.67","2542.09","2570.81","-0.47","3627799935.4"
"NEPSE","2021-10-03","2637.36","2640.84","2572.96","2577.5","-2.23","4113814245.94"